"","ENSEMBL","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","Category"
"ENSG00000198502.5","ENSG00000198502.5","HLA-DRB5",-0.650251184580873,1.55919741026772,-4.64282986797232,3.4408946371578e-05,0.00909821697702196,2.23343847576876,-4.14213382274485,"DOWN"
"ENSG00000117877.10","ENSG00000117877.10","CD3EAP",-0.754511323051143,2.15261790750314,-4.57516955750105,4.00091207922745e-05,0.00987371755658944,2.25382485257142,-4.10742697757632,"DOWN"
"ENSG00000175164.13","ENSG00000175164.13","ABO",-0.674184738009357,0.0665024694218135,-4.53306707990027,5.1848082247587e-05,0.0104362798846719,1.94094157509032,-4.04713616956205,"DOWN"
"ENSG00000128917.6","ENSG00000128917.6","DLL4",-0.814240321097968,1.55003804639165,-4.46731963081753,6.14054731618645e-05,0.0108243228833614,1.75903353379244,-4.00734369588305,"DOWN"
"ENSG00000254833.1","ENSG00000254833.1","RP11-50B3.2",-1.08036096210305,-0.711397434879035,-4.40647025642263,7.97480613844103e-05,0.0126158706680688,1.57330879658622,-3.94515594553156,"DOWN"
"ENSG00000136286.14","ENSG00000136286.14","MYO1G",-0.955946081079744,-0.181539896858051,-4.36350587447158,8.39421357339103e-05,0.0129473749191579,1.44194282756759,-3.93285712348601,"DOWN"
"ENSG00000102409.9","ENSG00000102409.9","BEX4",-1.49006781377019,-0.548916393175246,-4.32399011101554,9.21351613388082e-05,0.0136659444713303,1.44335001760016,-3.91042160324953,"DOWN"
"ENSG00000163885.11","ENSG00000163885.11","CFAP100",-0.9318595158788,-0.430213360819082,-4.34062266601794,9.60971776292955e-05,0.0138249318277986,1.3928017179396,-3.90024050484504,"DOWN"
"ENSG00000075275.16","ENSG00000075275.16","CELSR1",-1.02864742473989,-1.18135890156941,-4.30975333880036,0.000104052835765816,0.0147016331083168,1.28726153159425,-3.88094157929066,"DOWN"
"ENSG00000256269.7","ENSG00000256269.7","HMBS",-0.51118880574523,2.15547577316513,-4.27681631916198,0.000109437560063504,0.015096631739945,1.20759901755658,-3.86865455148523,"DOWN"
"ENSG00000230163.1","ENSG00000230163.1","RP5-997D16.2",-1.27900003638673,-0.441110063790326,-4.25897362802204,0.000113381411357549,0.015096631739945,1.29401670580927,-3.86001209837826,"DOWN"
"ENSG00000149633.11","ENSG00000149633.11","KIAA1755",-0.764193320690116,0.333046448017593,-4.26933968233556,0.000113844458017735,0.015096631739945,1.1751972792024,-3.85901605801105,"DOWN"
"ENSG00000132622.10","ENSG00000132622.10","HSPA12B",-0.664974524873824,2.16567213276012,-4.24937645502684,0.000115578164463306,0.0151328487550549,1.14761785504329,-3.8553203834861,"DOWN"
"ENSG00000235674.2","ENSG00000235674.2","LDHAP2",-0.875591093074501,-0.406630258128385,-4.23097565461686,0.000134294585057374,0.0162461338223982,1.07047899191755,-3.81844671145704,"DOWN"
"ENSG00000278500.1","ENSG00000278500.1","AC009336.19",-0.933469966307161,0.0417611636417976,-4.20185750865383,0.000139437545226315,0.0164719537292137,0.993103555911645,-3.80916383379574,"DOWN"
"ENSG00000271503.5","ENSG00000271503.5","CCL5",-1.10815739916133,-0.737668910137048,-4.18416078519406,0.000144473221699984,0.016511814755515,0.938898821717457,-3.80038196657886,"DOWN"
"ENSG00000169885.9","ENSG00000169885.9","CALML6",-0.772856932976422,3.06346544572254,-4.19096414747265,0.000147858239458558,0.0166872448423076,0.956749096429387,-3.79463931916437,"DOWN"
"ENSG00000063176.15","ENSG00000063176.15","SPHK2",-0.830541545898404,2.36625794795208,-4.13884773502495,0.000163264161170112,0.0173998486391391,0.981708145156967,-3.76997460201726,"DOWN"
"ENSG00000075618.17","ENSG00000075618.17","FSCN1",-0.781579596161082,1.32241497379797,-4.14594672353028,0.000164771756567325,0.0173998486391391,0.964940147618123,-3.76767995589745,"DOWN"
"ENSG00000267801.1","ENSG00000267801.1","RP11-552F3.9",-0.854189630741039,0.733033808753232,-4.10386064260633,0.00017990768230198,0.0178964006068794,0.729706478399609,-3.74567736998219,"DOWN"
"ENSG00000223842.1","ENSG00000223842.1","RP11-135J2.3",-0.897893112084171,-0.766760412918167,-4.10119189593898,0.000195462580458809,0.0188340876031783,0.711597894618021,-3.72480974554115,"DOWN"
"ENSG00000124496.12","ENSG00000124496.12","TRERF1",-0.611391555645576,1.10450756353718,-4.11993107079093,0.000197872473965185,0.0188784619619671,0.762716096848066,-3.72171730946564,"DOWN"
"ENSG00000130164.13","ENSG00000130164.13","LDLR",-0.545150501958474,1.04123906313769,-4.11643233812911,0.000202223510520658,0.0190493146597271,0.75023737940681,-3.71622250706786,"DOWN"
"ENSG00000108375.12","ENSG00000108375.12","RNF43",-1.20777593259632,-1.05812700728177,-4.07479033615454,0.000202596933505928,0.0190493146597271,0.69488597586694,-3.71575611062174,"DOWN"
"ENSG00000261691.1","ENSG00000261691.1","LA16c-366D1.3",-0.970456542751427,-1.02049145178521,-4.06339557482665,0.000203523860442313,0.0190493146597271,0.62149455267955,-3.71460188193594,"DOWN"
"ENSG00000148399.12","ENSG00000148399.12","DPH7",-0.578134575664149,2.44028094915117,-3.99681343821577,0.000207230939296589,0.0190493146597271,0.592792522747673,-3.71003458072649,"DOWN"
"ENSG00000223947.1","ENSG00000223947.1","AC016738.4",-1.01736636145971,-0.806064759891716,-4.04321789810587,0.000229508943055518,0.0198503786309093,0.558637977609494,-3.68410353816618,"DOWN"
"ENSG00000203772.7","ENSG00000203772.7","SPRN",-1.03252063879881,1.10118866236682,-4.01407083549542,0.000232563315788801,0.0200002386771431,0.57949098693445,-3.6807342254224,"DOWN"
"ENSG00000239351.1","ENSG00000239351.1","NPM1P29",-0.891437203191011,-0.184662972850082,-4.03476744473449,0.000237228930955074,0.0200496359956505,0.537350765491984,-3.67566685529727,"DOWN"
