"","ENSEMBL","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","Category"
"ENSG00000249019.2","ENSG00000249019.2","RP11-539G18.1",0.715965231034835,-0.690748392985964,4.96476670022507,1.19271086849964e-05,0.00689871420783121,3.19752112900122,4.37891600588907,"UP"
"ENSG00000091879.13","ENSG00000091879.13","ANGPT2",0.614232378280875,2.62031245503108,4.84350219602878,1.90675330749102e-05,0.00817483537962906,2.81452754991518,4.27553910081521,"UP"
"ENSG00000153162.8","ENSG00000153162.8","BMP6",0.521801118980924,1.53806768811469,4.84160382976114,1.9358075016259e-05,0.00817483537962906,2.80927846168979,4.27216902633614,"UP"
"ENSG00000081087.14","ENSG00000081087.14","OSTM1",0.532473345967051,2.69943125237057,4.82462658557147,1.94333976283796e-05,0.00817483537962906,2.82061301527253,4.27130320321849,"UP"
"ENSG00000242068.1","ENSG00000242068.1","RP11-259P15.4",0.518633491053152,2.36165806096918,4.8129722998339,2.03348294519546e-05,0.00818211648535278,2.73406648273205,4.26118227529658,"UP"
"ENSG00000166562.8","ENSG00000166562.8","SEC11C",0.573996518809584,1.08694374771637,4.76934744931466,2.4354533234828e-05,0.00818714378865704,2.67477455975247,4.22069957413181,"UP"
"ENSG00000266171.1","ENSG00000266171.1","RP11-769O8.1",0.783296652502517,-0.133757581729967,4.76943459625926,2.48133965000416e-05,0.00818714378865704,2.6119728056579,4.21649029137552,"UP"
"ENSG00000226761.3","ENSG00000226761.3","TAS2R46",1.26512338052531,-0.0721897164541549,4.74895564752531,2.65399874287872e-05,0.00818714378865704,2.58429191491033,4.20128871004246,"UP"
"ENSG00000275854.1","ENSG00000275854.1","RP11-278C7.5",0.639717847972052,0.234838842791093,4.70388078973246,3.00657038507001e-05,0.00853223481203946,2.46725300994175,4.17296810911342,"UP"
"ENSG00000177058.11","ENSG00000177058.11","SLC38A9",0.536074017871176,2.39231002771288,4.66724053639386,3.18685128694059e-05,0.00880379559253483,2.34104642574224,4.15968620077995,"UP"
"ENSG00000258968.2","ENSG00000258968.2","RP11-829H16.5",1.00087137246753,-0.0651005257072766,4.61913196877509,3.75881511080989e-05,0.00948929680383669,2.17387967836591,4.12182573107078,"UP"
"ENSG00000003096.14","ENSG00000003096.14","KLHL13",0.51392195102106,1.43995213141673,4.5903549118002,4.09586097180814e-05,0.00997503825357853,2.09111609560299,4.10200461762873,"UP"
"ENSG00000236285.1","ENSG00000236285.1","NPM1P8",0.557731686127385,2.64930282580997,4.58209303685636,4.29416517377943e-05,0.0101898337437799,2.07958165915308,4.09105432562654,"UP"
"ENSG00000164815.10","ENSG00000164815.10","ORC5",0.541659390438897,1.8005422925572,4.46862670742687,5.77721023850314e-05,0.0108243228833614,1.79192379025702,4.02173063576749,"UP"
"ENSG00000182389.19","ENSG00000182389.19","CACNB4",0.989387574753985,0.230365847914432,4.48622356414044,5.78249139356183e-05,0.0108243228833614,1.78047621018646,4.02151545210103,"UP"
"ENSG00000260194.1","ENSG00000260194.1","RP11-357N13.2",1.09889692266537,-0.650967099024966,4.49772743167786,5.85901869492183e-05,0.0108243228833614,1.84251755702685,4.01841801922791,"UP"
"ENSG00000180998.11","ENSG00000180998.11","GPR137C",0.955703246493071,-0.456959613382445,4.41884802003857,7.21278212154652e-05,0.0119197664542593,1.59747921995854,3.96915544038469,"UP"
"ENSG00000279066.1","ENSG00000279066.1","HEXDC-IT1",1.06789203330365,-1.2666883557836,4.39293618765131,7.8677782110839e-05,0.0126158706680688,1.51674550881119,3.94839234815868,"UP"
"ENSG00000166770.10","ENSG00000166770.10","ZNF667-AS1",0.840805189737916,0.402508494402388,4.29283378437635,0.000103950224732722,0.0147016331083168,1.24345165440787,3.88118149816332,"UP"
