"","ENSEMBL","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","Category"
"ENSG00000163788.13","ENSG00000163788.13","SNRK",0.237256104777504,4.54741334342745,4.78094385372275,2.21268606217916e-05,0.00818714378865704,2.63403348935239,4.24227167771869,"p-value"
"ENSG00000198624.12","ENSG00000198624.12","CCDC69",-0.326630613666289,6.45735428619368,-4.77593572942663,2.27936951592422e-05,0.00818714378865704,2.61417764681863,-4.2356052051226,"p-value"
"ENSG00000163754.17","ENSG00000163754.17","GYG1",0.229811759965336,6.64607970470977,4.73566982381548,2.33368943181106e-05,0.00818714378865704,2.56372588025582,4.23031052165465,"p-value"
"ENSG00000171617.13","ENSG00000171617.13","ENC1",0.380817306621019,2.31643264820149,4.74806712938244,2.49031973352326e-05,0.00818714378865704,2.53274137548192,4.21567519469455,"p-value"
"ENSG00000165502.6","ENSG00000165502.6","RPL36AL",0.355722529538822,4.02316002984504,4.73627256408492,2.53371723446399e-05,0.00818714378865704,2.5071005548958,4.21177511508203,"p-value"
"ENSG00000136450.12","ENSG00000136450.12","SRSF1",0.229215491505056,5.81542626136139,4.73282179565392,2.58531285436981e-05,0.00818714378865704,2.49560594600735,4.20722012513524,"p-value"
"ENSG00000152464.14","ENSG00000152464.14","RPP38",0.479799787629805,1.63031382316257,4.73358236327419,2.61460185234661e-05,0.00818714378865704,2.51388256686511,4.20467274348201,"p-value"
"ENSG00000105612.8","ENSG00000105612.8","DNASE2",-0.483455003797332,2.22199989353718,-4.73305735776952,2.63314320749828e-05,0.00818714378865704,2.49319440278274,-4.20307411881615,"p-value"
"ENSG00000138175.8","ENSG00000138175.8","ARL3",0.492365844600701,1.6383290493599,4.70745785520067,2.87014017520632e-05,0.00851861326735144,2.42280729064383,4.18353251474735,"p-value"
"ENSG00000126226.21","ENSG00000126226.21","PCID2",0.272223318260802,3.73338997999127,4.69921881655699,2.89952258816328e-05,0.00851861326735144,2.39694483064558,4.18121756267573,"p-value"
